software hardware
-0.857775	-34.03
-0.95513	-34.03
-1.052425	-33.15
-1.149661	-29.16
-1.246836	-28.33
-1.343952	-24.33
-1.441064	-21.12
-1.538229	-2.18
-1.635446	1.34
-1.732751	1.33
-1.830167	1.34
-1.927697	1.4
-2.02534	1.6
-2.123097	1.73
-2.220941	1.56
-2.318854	0.88
-2.416835	0.03
-2.514906	-0.78
-2.613345	-1.7
-2.711836	-1.71
-2.810188	-1.71
-2.908398	-1.71
-3.006469	-1.71
-3.104401	-1.71
-3.202195	-1.71
-3.299851	-1.71
-3.39737	-1.71
-3.494753	-1.71
-3.592	-1.71
-3.689112	-1.48
-3.78609	-1.24
-3.882941	-0.93
-3.97974	-0.73
-4.076304	-0.77
-4.172609	-0.77
-4.268658	-0.77
-4.36445	-0.78
-4.459986	-0.78
-4.555267	-0.78
-4.650294	-0.78
-4.745066	-0.78
-4.839585	-0.78
-4.933851	-0.78
-5.027866	-0.78
-5.121628	-0.78
-5.21514	-0.76
-5.3084	-0.59
-5.401412	-0.54
-5.494174	-0.72
-5.586688	-1.13
-5.678954	-2.08
-5.770973	-2.1
-5.862746	-2.18
-5.954272	-2.2
-6.045552	-2.2
-6.136587	-2.2
-6.227378	-2.2
-6.317926	-2.2
-6.40823	-2.2
-6.498292	-2.26
-6.588111	-2.64
-6.677689	-2.72
-6.767026	-3.25
-6.856124	-3.94
-6.944981	-8.36
-7.0336	-19.83
-7.121979	-35.18
-7.210121	-38.32
-7.298026	-38.23
-7.385694	-36.38
-7.473126	-32.14
-7.560322	-32.13
-7.647284	-32.13
-7.73401	-32.13
-7.820503	-32.13
-7.906762	-32.13
-7.992789	-32.05
-8.078583	-28.73
-8.164146	-27.3
-8.249478	-24.3
-8.334578	-20.54
-8.41945	-10.12
-8.504091	2.4
6.011952	2.4
5.90653	2.41
5.801298	2.55
5.696254	2.75
5.5914	3.04
5.486734	2.86
5.382256	1.49
5.277966	0.51
5.173862	0.08
5.069946	-0.89
4.966216	-1.12
4.862674	-1.96
4.759316	-2.17
4.656143	-2.43
4.553156	-3.14
4.450354	-3.15
4.347736	-3.15
4.245302	-3.15
4.143052	-3.15
4.040986	-3.15
3.939102	-3.15
3.837402	-3.15
3.735883	-3.15
3.634546	-3.15
3.533391	-2.7
3.432418	-2.23
3.331624	-1.73
3.231012	-1.36
3.13058	-1.41
3.030328	-1.4
2.930256	-1.4
2.830362	-1.42
2.730647	-1.43
2.631111	-1.43
2.531753	-1.43
2.432572	-1.43
2.33357	-1.43
2.234744	-1.43
2.136095	-1.43
2.037623	-1.43
1.939326	-1.38
1.841206	-1.01
1.743261	-0.93
1.64549	-1.39
1.547895	-2.27
1.450474	-4.29
1.353227	-4.31
1.256154	-4.46
