software	hardware
0.187652	-0.44
0.103987	-0.44
0.019471	-0.17
0	0
0.059294	0
0.117542	0.01
0.174747	0.02
0.230909	0.04
0.286032	0.17
0.340117	0.52
0.393165	0.62
0.445179	0.63
0.49616	0.56
0.54611	0.53
0.595032	0.36
0.642926	0.31
0.689795	0.23
0.735641	0
0.780465	-0.01
0.82427	-0.01
0.867056	-0.01
0.908826	-0.01
0.949582	-0.01
0.989325	-0.01
1.028058	-0.01
1.065782	-0.01
1.102498	-0.01
1.138209	-0.01
1.172917	-0.01
1.206622	-0.01
1.239328	-0.01
1.271036	0
1.301747	0.01
1.331464	0.02
1.360187	0.02
1.38792	0.02
1.414663	0.02
1.440418	0.02
1.465188	0.02
1.488974	0.02
1.511777	0.02
1.5336	0.02
1.554443	0.02
1.57431	0.02
1.593201	0.02
1.611119	0.02
1.628065	0.02
1.64404	0.02
1.659047	-0.01
1.673088	-0.02
1.686163	-0.02
1.698275	-0.02
1.709425	-0.02
1.719615	-0.02
1.728847	-0.02
1.737123	-0.02
1.744443	-0.02
1.750811	-0.02
1.756227	-0.02
1.760694	-0.02
1.764212	-0.02
1.766784	-0.02
1.768407	-0.04
1.768988	-0.26
1.768462	-0.48
1.766829	-0.48
1.76409	-0.44
1.760244	-0.44
1.7553	-0.44
1.749389	-0.44
1.742578	-0.44
1.734924	-0.44
1.726462	-0.44
1.717187	-0.44
1.707089	-0.44
1.696088	-0.44
1.684167	-0.44
1.671321	-0.44
1.65754	-0.2
1.642754	0.01
1.626935	0.01
1.610082	0.01
1.592195	0.02
1.573272	0.02
1.553314	0.04
1.532319	0.12
1.510288	0.16
1.487236	0.26
1.463479	0.21
1.439192	0.08
1.41428	0.03
1.388448	0
1.361413	0
1.333219	0
1.304022	0
1.273831	0
1.242647	0
1.210473	0
1.177312	0
1.143166	0
1.108038	0
1.071931	0
1.034848	0
0.99679	0
0.95776	0
0.917762	0
0.876797	0
0.834869	0.01
0.791979	0.01
0.74813	0.01
0.703326	0.01
0.657568	0.01
0.610859	0.01
0.563201	0.01
0.514598	0.01
0.465051	0.01
0.414563	0.01
0.363137	0.01
0.310775	0.01
0.25748	0.01
0.203254	0.01
0.148099	0.01
0.092019	0
0.035015	-0.01
0	-0.01
0.040317	-0.01
0.079621	-0.01
0.117916	-0.01
0.155202	-0.01
0.191481	-0.01
0.226756	-0.01
0.261028	-0.01
0.294298	-0.01
0.326569	-0.01
0.357842	-0.01
0.388119	-0.01
0.417402	-0.01
0.445693	-0.03
0.472993	-0.16
0.499304	-0.47
0.524628	-0.47
0.548967	-0.45
0.572322	-0.44
0.594696	-0.44
0.616089	-0.44
0.636504	-0.44
0.655942	-0.44
0.674406	-0.44
0.691896	-0.44
0.708415	-0.44
0.723964	-0.44
0.738545	-0.44
0.75216	-0.44
0.76481	-0.32
0.776498	-0.04
0.787224	0.01
0.796988	0.01
0.805703	0.01
0.813306	0.03
0.819797	0.05
0.825177	0.33
0.829444	0.51
0.8326	0.57
0.83472	0.51
0.835916	0.39
0.836195	0.26
0.835558	0.25
0.834007	0.01
0.831544	0
0.82817	0
0.823886	0
0.818696	0
0.8126	0
0.805601	0
0.797699	0
0.788888	0
0.779095	0
0.76832	0
0.756641	0
0.744061	0
0.730573	0
0.716173	0
0.700854	0
0.684613	0.01
0.667442	0.02
0.649338	0.02
0.630273	0.02
